@relation play_store_comments
@attribute class {mauvais, neutre, bien}
@attribute text String
@data
neutre, 'trouve application sympathique utile trouve dommage est explique difference mot traduit meme facon exemple addition a bill a addition '
bien, 'Cool Cool '
bien, 'Cool Cool application '
bien, 'Excellent Commentaire Cool cool '
bien, 'Dico it\'a cool/c\'est cool '
neutre, 'Cool Cool super '
bien, 'Commentaire manque vocabulaire l fait boulot app gratuit '
bien, 'cool cool '
neutre, 'Cool Cool '
neutre, 'Cool Cool '
neutre, 'Commentaire est voulais appli donne a definition mots bein dommage '
neutre, 'Commentaire application est continue voir suite étoiles '
bien, 'Cool Cool '
bien, 'Commentaire Cool cool '
mauvais, 'Nul merde ya pub beuge mérite étoile '
bien, 'Cool Commentaire Cool '
bien, 'Simple excellent prend place memoire simple d utilisation publicité rien d encombrant peut meme etre utilisé ligne dire parfait '
neutre, 'Commentaire Bonne application bémols impossible ajouter favoris mots introuvables '
bien, 'Rien redire Commentaire super recherche trad mot peut aller internet dico est complet ensemble rempli fonction est dis mérite étoiles '
bien, 'Pratique Tres partique trouver mots mqis j ai enlever etoile phrases peut '
neutre, 'Commentaire utilise appli savoir ect. google traduction est mdrr faut utilisez mot '
bien, 'Super manque endroit puisse enregistrer mot favoris est complet dictionnaire '
neutre, 'Dico anglais-français francais-anglais Commentaire utile télécharger seul bémol est appli propose expressions '
bien, 'Commentaire est bon dictionnaire marche connexion contient mots a besoin '
bien, 'Super Cool cool tres cool '
neutre, 'peut faire Commentaire Facile utilisation Inversion anglais français français anglais rapide Pourrait être étoiles manquait mots pouvait mettre phrases entières '
neutre, 'Instructif est avoir dictionnaire porter main utile parlons français '
bien, 'Commentaire est adore est bie n a mots faut marquer français soit anglais '
bien, 'Commentaire mere a meme trouve bonne aplication ki est forte anglais '
bien, 'qu excellent grâce appli sort anglais vocabulaire été améliorer merciii -D #Plus_que_satisfait '
bien, 'Super Commentaire Impeccable a besoin mot texte a rédiger mots sont connexion internet is very good '
bien, 'Excellent Commentaire Parfait lol appl traduit texte difficultés majeure '
mauvais, 'Nul Commentaire trouve appli nul inefficace a mettez tablette déconne Courage va passer '
bien, 'parfait appli est super Deja a besoin wifi peut utiliser connait mots faut reconnaitre manque mots. reussi a trouver good morning exemple. Mais reste pratique simple utilisation partez voyage est ideal petit bemol appli est volumineuse ~32Mo '
bien, 'Commentaire appli sert voit différence mots '
bien, 'Cool Cool '
bien, 'Satisfait Cool cool cool '
bien, 'Cool cool cool Very nice '
bien, 'Cool cool cool Commentaire Nice est fait '
bien, 'Cool Cool seulemn yavai phrases a traduirr serao plu mai kan mm cei cooooool '
mauvais, 'Nul appli cesse impossible rentrer a trouver fois cberchais est juste commercial rigole marche même un beaucouuuup pub '
neutre, 'Commentaire trouve dit a eu millier personne pensait a '
mauvais, 'Payer pense avoir résumé '
bien, 'akinator adore est cool jeu '
bien, 'cool est cool suis alle u e est di quellle avait etvon essayer '
bien, 'Commentaire trouve personnages '
bien, 'est Commentaire sais pense '
bien, 'lent est cool bug '
bien, 'Cool a dire '
mauvais, 'Impossible savoir résultat essais '
bien, 'a '
bien, 'Cool application est cool a pub '
mauvais, 'Commentaire a problème met français joue parle anglais '
bien, 'Super simpatique '
mauvais, 'Commentaire nul bug fait '
mauvais, 'Commentaire parle français '
bien, 'Super conseil a '
bien, 'Commentaire adore apli '
bien, 'Commentaire devine '
bien, 'Commentaire Amusant '
bien, 'Commentaire '
neutre, 'super trouve dit faut version payante '
neutre, 'mal Commentaire a trouvé sont connu commercial quu logiciel connais personne a écrit sais dise dois payer gâche principe est dommage parler potion rayonnante enlève pub '
bien, 'Commentaire pub '
bien, 'sais penses dois passer version premium est grosse blague Ahahah '
bien, 'Commentaire adore voulez fasse deviner '
bien, 'pensais a Tacos dit cacahuète continue dit frite continue apres dit fromage continue allait donner autre réponse parie fausse dit faut version premium truc est populaire Tacos est populaire '
bien, 'Commentaire #OMG est ai penser a ariana grande a trouver suivi nabilla violetta florencia minaj est truc ouufff noon allo Chi choker '
bien, 'a trouver est grâce questions pose parait évidant trouve bout moment jeu commence a être lassent met étoile '
mauvais, 'limité anglais devine personnages objets faut soient ultra mega connu être deviné version gratuite impossible caler '
bien, 'bon jeu comprend passe fois ai jouer ai pensé a MAYU a trouver disait etait version payante Repondez svp '
bien, 'est fou Commentaire comprend meme cest possible aie trouver gens a pensais. joeurs morts préférés présentatrices télé meme lea personnages fictif enfance Cest fou '
bien, 'est Commentaire ai installer a peine min suis macro '
bien, 'Commentaire joue jours enfants fois reste voix bonne réponse adore '
bien, 'm a plu etait beau akinator devine aurai mis etoiles application free pouvais deviner autre gens celebre '
bien, 'serai puisse faire objets c super '
bien, 'Mouai a personnage objet '
bien, 'adore Commentaire kiff jeu meilleur même pubs sont là?très satisfaisant '
bien, 'aurais espérer c devine '
bien, 'Appli génial Application complète '
neutre, 'Bloqué niveau lustres niveaux deviennent impossible peut avancer er est tout drôle pense désinstaller '
bien, 'Navigation longue Commentaire veux voir description article clique suis obligée reviens liste faire défiler articles vu début liste est soûlant '
mauvais, 'Recherche peut rechercher veut outil corrige mot rapprochant '
bien, 'Commentaire a bugs est '
bien, '? Super pratique achats ventes besoin pc fonctions pointues '
bien, 'Application sympa utile vendeuse suis Dommage puisse retrouver ventes site évaluations '
bien, 'Commentaire suivi d objets '
bien, 'mal Commentaire application sympa '
bien, 'Top Top ai utilisé fois final utiliser '
bien, 'Commentaire rubriques accessibles '
bien, 'Bonne appli pratique '
neutre, 'pó limitata rispetto alla versione line su pc comunque e utile per seguire su smartphone eventuali acquisti o vendite '
neutre, 'Application éviter application améliore fil temps '
bien, 'Super original '
bien, 'Meilleure présentation habitue recherches évident départ recherches a étranger faudrait pouvoir sauvegarder préférences recherches '
bien, 'superbe '
bien, 'Excellent Commentaire Excellent super applications j adore '
bien, 'Excellent good app '
bien, 'Commentaire Rien dire ^^ '
bien, 'Meilleur ordinateur '
bien, 'Commentaire Indispensable est ebay '
bien, 'Commentaire '
mauvais, 'dernière MAJ peut afficher date achat '
bien, 'Commentaire App pratique '
bien, 'Commentaire supet '
bien, 'Commentaire '
bien, 'Commentaire '
bien, 'Commentaire '
bien, 'Commentaire Excellent '
bien, 'Commentaire Super appli '
bien, 'Commentaire Parfaite '
neutre, 'miniatures images sont basse résolution logo application fait écran HD pixelise '
mauvais, 'réglages options manquantes faut arrêter chercher faire application dégrade MAJ nouvelle version espérant améliorations ÇA '
neutre, 'Commentaire faire dernière mise jour date achat possibilité partager objet vu mail sms '
neutre, 'Miniatures revoir Commentaire miniatures sont basses résolution est dommage passage site est nécessaire avoir résolution convenable ajout bouton résolution conviendrait Merci '
mauvais, 'application fonctionnait s3 changement xperia possible voir objet particulier cliquant affiche est arrêté '
bien, 'Super Cest facile application acheter choses ont peux trouver '
neutre, 'Commentaire derniere maj retrouve date d achat l objet faut aller ebay site principal retrouver '
bien, 'faudrait augmenter capacité articles suit est '
bien, 'tres Commentaire nouvelle mise a jour va tres pert info super '
bien, 'Commentaire est vrai plaisir utiliser zoom adaptatif refait police est tres pratique chanfement page clic rend lecture facile definitivement lire soir couché lit fatguer bras '
bien, 'Beowulf français Sympa juste petit souci ai voulu lire beowulf est anglais Possible avoir français '
mauvais, 'Programme merde Commentaire ai acheté lire bouquin Busch nikon cherchais informations techniques Rien programme permet trouver infos rapides livre est linéaire impossible retourner table matière grosse merde livre est protégé '
bien, 'Super peux télécharger livres n arrivait a lire playlivre???? '
bien, 'cool application peux ligner tu an vie lire histoire '
bien, 'Bonne application Commentaire Application correcte lire livrels seul petit problème changement lecture horizontale verticale provoque changement page '
bien, 'like this very useful app even though its slow '
bien, 'Commentaire n arrive a accéder site francais '
bien, 'Pratique Commentaire jtrouve cest utile facile a utiliser permet acceder bouquins rien temps '
bien, 'Commentaire est beau dois installer '
bien, 'Cool Super juste chiant défiler pages '
bien, 'Commentaire adore i really like it s helpful so think you bonne continuation faites bon boulot '
bien, 'Commentaire livre jaune no '
bien, 'Top relis '
bien, 'Commentaire Its the best '
bien, 'Commentaire Excellent '
bien, 'Commentaire Excellent '
bien, 'Commentaire Fonctionne bien belle présentation '
bien, 'Commentaire adore applis ont faire aime soir est pouvoir inter changer texte fond seul clic blanc noir choix grosseur texte marque page merci agréable '
bien, 'Super aplication est super conseille a aiment livres '
bien, 'Bonne applicaction Commentaire manquerait système dossier ranger fiches ibook d appel merci explications fourni bonne application '
bien, 'Super Pratique estétique fluide manque juste possibilité organiser livres '
bien, 'of high quality useful and easy to use you but it must still free hhh '
mauvais, 'Interface anglais jarrive changer taille texte déconseille '
mauvais, 'Dommage téléchargement bloque a tablette '
mauvais, 'Bugs change page repart page super pratique simule livre tombe réalisme ebook '
mauvais, 'Commentaire appli est anglais arrive mettre français '
bien, 'parfait a redire appli parfaite '
bien, 'Commentaire Cool '
bien, 'Commentaire Cool '
bien, 'Commentaire bonne appli Juste petit soucis un livres veut reprendre lecture reviens pages est gênant ai compris truc '
mauvais, 'fonctionne galaxy '
bien, 'Pratique Tres bonne apli '
mauvais, 'trio Commentaire Bonjour application lire epub options intéressantes lecture mode portrait seul type surbrillance Couleur bleu soulignage seule bibliothèque thématique répertoire aurait été Défilement manuel tactile délicat Pas facile faire apparaitre menu pages blanches comparez application ipad '
neutre, 'Dommage livre est mal '
bien, 'Ebook reader Samsung permet lire livre ai commencé tablette continuer tablette suite '
neutre, 'Commentaire va essayer trouver bon courage '
bien, 'Super bon reader '
bien, 'adore S note oblige to read English choix '
bien, 'Commentaire Parfait '
mauvais, 'Samsung galaxy conseille lieu mettre emojis ca mets rectangle jaurais pu mettre etoiles laurais fait '
mauvais, 'Commentaire e peut m servir c est nul désinstalle '
bien, 'Commentaire a disent marche c est parfais '
bien, 'Parfait Commentaire Rien dire est grosse turie '
bien, '
bien, 'Commentaire are really nice job '
mauvais, 'arrive a mettre Commentaire Aidez '
bien, 'Commentaire ool '
bien, 'rabii the best app Keyboard in the world '
bien, 'Super pratique ??? '
neutre, 'galère a mètre route chian '
mauvais, 'Galaxy trend lite Commentaire peut conseiller appli genre emoticones soient '
mauvais, 'Voila met ?????? '
mauvais, 'Commentaire ai compris met smileys ns affiches ?c bizzare meme smileys sont beau prefere mn clavier samsung vq ptions disent dsl l application rep '
bien, 'Commentaire est danger tkt ? '
mauvais, 'Commentaire a marche Nul '
bien, 'Commentaire Conseillé '
mauvais, 'Commentaire e fonctionne '
mauvais, 'Commentaire ai détesté servir '
mauvais, 'Commentaire e fonctionne '
mauvais, 'Reponce urgence '
bien, 'sait '
neutre, 'URGENCES Commentaire Est application est sécurisé a message plait '
mauvais, 'Commentaire est metde '
mauvais, 'Commentaire ul '
mauvais, 'Commentaire ul '
neutre, 'Commentaire of '
neutre, 'Commentaire pi '
bien, 'aime Commentaire aidore peut mettre clavier francais autres empêche changer clavier '
mauvais, 'Commentaire suis deçu telephone vois juste petits carrés blancs a place emoticones tres deçu J\' ais samsung galaxy trend '
neutre, 'symboles sont variés app marche contre marche Samsung galaxy tab '
bien, 'Commentaire rès est dommage a couleurs envoie ?????????????????? '
mauvais, 'rejoint coline baes m marche Commentaire vou voulez mettre jeu c laMERDE '
mauvais, 'Nul Em faite marche nickel envoyer sms smileys transforme point dinterogation '
mauvais, 'Commentaire e marche nul '
mauvais, 'soule ai smiley clavier kan klike smiley ??????des Truc genre '
bien, 'Commentaire est tres bonne application meme sont couleur soit possible mettre accent '
mauvais, 'Nul envoyé smyley ?? est quelqu un m aider '
mauvais, 'marche Commentaire arrive a servir '
mauvais, 'Commentaire marche conseille tout c tres desseuvent '
bien, 'Commentaire Super choix application filtre sont fonction permet ajouter texte est super développeur '
bien, 'Exceptionnel a choix sais mettre ya choses payantes c est tres aies acheté j ai peur pouvoir essayer étoiles recommandation application '
mauvais, 'choix emicone cadre choses payante '
bien, 'Parfait Commentaire application juste parfaite Jai chercher application retpuche photo est meilleur Bcp fonctionnalité innexistante autres applications enormement effets cadre stickers police écriture belles unes autres utilise application recommande a '
neutre, 'Bonne application Commentaire simple options collages modification sont limitées '
bien, 'Photos mal Retouche photos '
bien, 'Commentaire appli est adore '
bien, 'Georgous Commentaire vrai appli gratuite peut servir '
bien, 'Commentaire aime est '
bien, 'Commentaire Jusqua appli est meilleure jai testé '
bien, 'Super Commentaire Super faire retouches photos '
bien, 'Merveilleux Commentaire Super application modifier critères photos ? assemblée photos seule perdre qualité photos ???????????? '
bien, 'PARFAIT Commentaire '
bien, 'Super amateurs pro photo '
bien, 'Commentaire trop cool appli '
bien, 'Simple Commentaire Ludique pratique '
bien, 'Cool Super application '
bien, 'Commentaire Simple ludique '
bien, 'bonne application '
bien, 'top Commentaire Super appli '
bien, 'Commentaire appli '
bien, 'Commentaire Parfait '
bien, 'adore Commentaire est appli simple utilisation fonctionnelle offre personnalisation photos secret conseil essayer comprendre cause '
bien, 'Commentaire adore bricoler '
bien, 'Commentaire est parfaite '
bien, 'Commentaire '
bien, ''
bien, 'Commentaire tres c oool '
bien, 'Commentaire '
bien, 'Commentaire Magnifique application '
bien, 'Commentaire Superbe application '
bien, 'Commentaire '
bien, 'Commentaire Jai aimer '
bien, 'adore Commentaire peut modifier photo soit effets a beug bref adore '
bien, 'Commentaire Enregistrement long '
bien, 'Parfait ? Commentaire appli est parfaite amateurs photos conseille '
neutre, 'Commentaire effets ect recommande est super '
bien, 'Commentaire application est génial a recherchais ? '
bien, 'Commentaire grand choix filtres '
bien, 'meilleure Commentaire utilise super effets bcp possibilités appli est géniale bug lenteur Parfaite '
bien, 'Merci pr mise a jour Commentaire Fini oups connexion semble interrompue quon rentre adresse suis super contente '
neutre, 'Commentaire Pouvez reunir horaires directions meme page consultation horaires siel plutot appuyer flèche permettre changer station revenir page précédente bouton actualiser page principale fiches horaires Merci '
bien, 'Nouvelle interface améliorée Commentaire nouvelle interface a déstabilisé départ est fonctionnelle coup œil vois horaires lignes favorites '
mauvais, 'nul ai bonnes horaires suis arrivé fois retard cause application pratique application est super a bonnes horaires '
bien, 'dernière mise a jour Commentaire Merci mise jour contre est possible ajouter bouton rafraîchir page accueil '
bien, 'revoir bugs Commentaire RATP est décidée corriger bugs nouvelle page accueil est sympa '
bien, 'Amélioration indéniable Commentaire Demarrage rapide Manque sauvegarde feuille route appels application pouvoir consulter métro '
bien, 'widget Commentaire belle mise jour prochaine étape sera faire widget trafic temps réel aurait possibilité vérifier heure prochain metro rer tramway bus avoir ouvrir application difficile coder utile '
mauvais, 'bugs Commentaire bugs cherche station voir temps arrivée bus est possible mettre station favori impossible avoir raccourci pouvoir accéder dois t fermer application optimal version ios semblait soignée Dans attente '
mauvais, 'Commentaire pplication minable fonctionelle jour horaires porte satyre puisquelle vient conduire minutes pieds bus régulier Merci '
bien, 'fait Rien dire est parfait horaires sont correctes est organisé appli '
mauvais, 'peux appli A fois rentre adresse ai erreur oops connexion internet semble interrompue défaut est présent mise a jour '
neutre, 'faire Bonne application fiable stable fait mois est impossible avoir informations horaires passage bus arrêt directions application indique info indispo fonctionne autres arrêt ligne '
neutre, 'bug recherches Commentaire application a potentiel reste exploitation cause bugs répétition '
bien, 'esperais dieu est GG '
bien, 'Super dernière mise jour montre devs sont écoute reste améliorations apporter rien niveau look '
neutre, 'affichage horizontale lignes Commentaire Comprends ratp a supprimé miniscule petite fonctionnalité énorme termes confort coup nouvelle version perd praticité '
neutre, 'est passe Commentaire appli reste mémoire a fait rebooter SM-N900 '
bien, 'nouvelles fonctionnalités sympas Commentaire nouvelles fonctionnalités sympas petit effort ergonomie page accueil est bon '
bien, 'Commentaire forcé constater obligation passer ancienne appli moche nouvelle offrait nouveau trouvais juste dommage rechercher itinéraire partir lieu trouve mise jour épate reste mémoire plan '
bien, 'Top maj Commentaire Top avoir remis notion itinéraire page accueil '
bien, 'top Commentaire Super dernière mise jour A écouter gens mises jour frôle perfection '
mauvais, 'Application utile pb maj Commentaire Maj rendent application inutilisable crash ouverture revenir versions précédentes '
bien, 'Tres bonne appli Commentaire dernière mis jour trouver horaires bus est rapide '
neutre, 'Mise jour Commentaire Bonne mise jour fluidité application reste mémoire pb sors application dois retrouver ligne bus étais amélioration venue espère reste sera réglé '
neutre, 'terme fonctionnalités Commentaire apparait multitâche doit être relancé fois change programme '
mauvais, 'RAS mise jours Commentaire bug remplace autre bug Impossible entrer adresse = connexion semble interrompue est obligatoire bouffe mémoire horaires bus arrêt ai besoin fonctionne mairie = point exclamation rouge constant a fois informations disponible Obliger utiliser autre applications compléter lacunes bouffe mémoire '
mauvais, 'Application lente fiable problème fiabilité est lié RATP omet informations masque médiocrité services transports réduits pénalités contractuelles '
bien, 'Commentaire merci améliorations venir '
mauvais, 'Commentaire k faire mises a jours marche niquel faire une plante temps mise jour avoir corriger bug connexion '
bien, 'Gestion multitache Commentaire application réinitialise lancement lieu revenir dernière page visualisée itinéraire plan a '
neutre, 'Pratique Améliorations dernière mise jour reste imprécisions trajets tramway est oublié tarifs zones '
mauvais, 'Bug multi tâches Commentaire application ferme appui multi tâche '
neutre, 'progrès Commentaire améliorations notables ont été faites pouvait imprimer trajet suivre cours route change serait ai peut être loupé astuce '
bien, 'Alleluia MAJ digne nom '
neutre, 'Shopping WTF Commentaire êtes gentils réductions rubrique shopping utilise appli déplacer manger frites acheter porte-clés '
mauvais, 'itinéraires fonctionnent Commentaire refonte a air top itinéraires marchent dit connexion est impossible dois être déconnectée est cas '
bien, 'Demande nouveautés Commentaire Est est possible mettre push SMS cas métro est retardé supprimer trafic ect '
mauvais, 'Bug dernière version Commentaire Gros problème dernière MAJ appli passe multi-task perd recherche cours dés passe autre app raisons est problématique Peut être problème mauvais flag activity nouvelle version est mise a part bouton menu mot menu est bêtes même app ont bouton besoin précisée menu '
mauvais, 'Peut faire ai fait forcing installer nouvelle application soit possible mette temps erreur est survenue coup nouvelle application jolie super pouvait être fonctionnelle serait Exemple ai arrêt bus peut disposer plans sortie métro était fonctionnalités importante déplacer souterrain métro coup étoiles interface revoyez cahier charges spécifications Si avais demande rajoutez plans sortie métro ai essayé chercher itinéraire manque état trafic bus '
bien, 'Commentaire es défauts facebook existent hier novembre ai fait remettre programme origine logiciel ai achetée mars Différentes mises jour avait détérioré fonctionnement impeccable hier tablette samsung galaxy tab applications store fonctionnent facebook messenger '
mauvais, 'nul peux installer Facebook récente mise jour '
mauvais, 'Rien vas galaxy s4 Commentaire impossible d ouvrire sois galaxy s4 tablette samsung '
bien, 'base étoiles notifications est moyen modifier supprimer commentaires application '
mauvais, 'Mise jour inutile incompétente fait semaines tablette samsung galaxy bug mort ? smartphone marche mise jour '
bien, 'Commentaire faut être pressé ouverture appli mise jour '
bien, 'd avoire m aidais Commentaire connection est lent veut axelaire '
bien, 'Commentaire our début espérons bug bout moment autres autres '
mauvais, 'Ras bol temps arrivais connecter mise jour actualité met jour gonfle faite chose '
bien, 'Commentaire nouvelles mises jour fonctionne '
mauvais, 'Commentaire ise jour inutile lent beug wifi c était c est c était '
mauvais, 'Samsung galaxy note fait mois ca marche wifi tablette telephone reseau 3g ca fonctionne mise a jour attendue resout probleme coup jeux appli demandent connexion facebook fonctionnent virez incompetents d informaticiens coup utilise appli rapid facebook ca resout pb jeux '
neutre, 'Commentaire ais connexion est longue ca '
mauvais, 'Commentaire a fait mois suis facbook peux faite mot passe reintialiser fois marche '
mauvais, 'problème connection serveurs qu téléphone Commentaire problème connection serveurs qu téléphone fonctionne '
mauvais, 'Horreur impossible connecter application s4 mini Application vierge ipad iphone Attends solution '
mauvais, 'Commentaire application veut ouvrir suis éteint '
bien, 'Super Commentaire mise a jour fonctionne '
neutre, 'Cool appli bugs prend place/mémoire '
mauvais, 'top Commentaire Lent bug '
mauvais, 'Commentaire ouffe batterie même l utilise '
mauvais, 'faire deja '
mauvais, 'Connection impossible Commentaire Impossible connecter galaxy tab Régler problème mérite étoile moment '
mauvais, 'Commentaire mpossible telecharger Facebook nouvelle mise jour experia '
mauvais, 'vie privée est tjrs ca Application demande bcp permissions version tablette '
mauvais, 'aime messenger externe Commentaire Prend jus pile '
mauvais, 'Honteux Commentaire Nul nul nul fonctionne mises a jour 4g veux aller dois payer ai loisir utiliser wifi est n importe fait semaines dure Faites qqchose svp '
neutre, 'fonctionne Commentaire fonctionne huawei p6 nickel '
neutre, 'doit passe est '
mauvais, 'Commentaire ourquoi obligée téléchargement application messenger chat '
mauvais, 'Commentaire epuis mise a jour nexus d facebook déconne a mort réparé bugs svp '
mauvais, 'Commentaire mpossible ouvrir facebook s4 mise a jour '
neutre, 'merde Commentaire '
mauvais, 'Notification Est qu jour serait possible désactivation notifications applications fonctionne d an essaie compliqué messieurs mesdames développeurs existe formations '
neutre, 'Samsung galaxy trend Commentaire Faible nouvelle mise a jour dirait soit arrangé. reste superficiel niveau fluidité '
neutre, 'Commentaire roblème sérieux chargement commentaires beugent dupliquent faut reessayer fois marche '
mauvais, 'Merci mise a jour efficace Beug complet tab samsung mise a jour inutile plante bout seconde réseau sociaux '
mauvais, 'Mise jour Commentaire viens installer nouvelle mise jour ouvre application retrouve fil actualité vide charge bout moment appareil dit répond '
bien, 'el chantara Ronaldo Commentaire est formidable nouv mise a jour crois avoir entendu qu prochaine mise a jour sera 3D est genial '
neutre, 'avance peut selectioner actualités récentes page accueil '
bien, 'Super calculer calories plats suffit calculer met retrouver aliments a un ajouter plat enregistrement mettre nombre grammes mangé codes barres donnent bons aliments fiable sachant produit donner autre marque est même produit pâte tartiner Sachant trouve aliment peut ajouter Super application '
bien, 'pratique Commentaire a aidé perdre poids conseille '
bien, 'Bonne appli Commentaire simple utilisation peut mettre jour base '
bien, 'Super appli mise jour récente Commentaire améliorations faire pouvoir entrer poids jours précédents importe moment Pouvoir entrer données plat fait maison '
bien, 'Commentaire ai essayé appli calculer calories est meilleure échelle mesure adaptée standard européen large choix produits français ai mis étoiles suggérer améliorations interface pourrait être améliorée lisibilité prendre exemple trouve pouvoir calculer apports vitamines E minéraux calcium magnésium fer oméga '
neutre, 'Problème sauvegarde Commentaire galaxy s4 sauvegardes disparaissent mise jour application impose '
mauvais, 'Manque produits apport mise jour est mauvaise produits disparu arrive pu mettre aliments mange déçu '
bien, 'adore Commentaire aime application barre code est vrai pouvoir enregistrer aliments existants est pratique évident calculer sois calories plat cuisiné maison possibilité look girly aurait côté attrayant Super application merci '
bien, 'Commentaire compagnon conserver forme impossible passer application '
bien, 'Super Mise jour géniale '
neutre, 'Pouvoir ajouter 4repas jours Commentaire peux écrire 4repas jour '
mauvais, 'Nulle incomplète manque aliments code barre c importe confond correspond bon code barre desinstalle '
bien, 'Utile Pratique Commentaire deviendrai accro est super pratique prise main simple intuitive multiples façons trouver cherche rapide gâche recommande +++ De a synchro immédiate site web note qqch site est repris smartphone '
bien, 'Pratique Détaillée complet '
neutre, 'Commentaire convient '
neutre, 'Code barre malade Commentaire utilisation code barre fait planter application '
mauvais, 'Commentaire application sert a rien '
bien, 'Commentaire Parfait '
bien, 'Commentaire Canon '
bien, 'Commentaire utile suivi jour jour espérant liste aliments agrandisse être réalité '
bien, 'jours Commentaire utilise app jours aide a controler aliments Petite demande serais pouvoir creer repas avc portions appli ingredients remette a fois app géniale '
bien, 'Excellent Commentaire Super application catalogue aliments complet surveiller alimentation simplicité meilleure application genre Merci '
neutre, 'Calcul plat Commentaire appli est dommage a possibilité calculer calories total plat exemple gâteau fait maison '
mauvais, 'améliore Commentaire demandent avis tiennent compte base données est proportions g/l/p repas objectifs calories journalières gestion progression rien suis passé myfitnesspal base est bonne '
bien, 'Commentaire:19kg perdu mois grâce appli '
bien, '-25kg an Commentaire est dit titre '
bien, 'Commentaire fait Pratique '
bien, 'Excellent Commentaire Excellente application '
bien, 'Commentaire Génial rien dire '
bien, 'Commentaire seul bemol c effacer liste aliments choisis '
neutre, 'Commentaire A marché journée journal exercices fonctionne arrive synchroniser téléphone tablette '
bien, 'ai perdu kilos Commentaire a application ai réussi contrôle poids ai pu perdre poids '
bien, 'Commentaire prend temps écrire mange programme évite grignotages inutiles p marche '
bien, 'Bon progrmme Commentaire ergonomie est dernière version sauvegarde déjeuner dîner fonctionne est éléments breakfirst sont pris compte info ai perdu données bout mois utilisation '
bien, 'Super appli Commentaire simple utiliser complète attend nouvelle mise jour a eu lieu Iphone jours '
bien, 'Génial utilise 3mois lasse '
bien, 'Commentaire Simple efficace dit calories peux manger poids activité '
bien, 'Parfait Commentaire bonne appli surveillent mangent est français a base données intéressante utilisateurs peuvent compléter appli est super '
bien, 'Bonne application Commentaire pratique suivre progression Permet prendre conscience l mange journée '
bien, 'FatSecret +++ diabètiques Commentaire Diabétique type insuline mois ai recherché programme permettrait fois calculer glucides repas perdre poids ai début testé programmes spécifiques diabétiques seul a apporté données nécessaires rapport objectifs ai pu équilibrer diabète perdre kilos mois insuline a tendance faire grossir grand merci '
neutre, 'semble application est gourmande énergie nexus Pourrait disparaître fin semaine '
bien, 'Nickel pratique '
bien, 'like Commentaire like recommander '
bien, 'Excellent Commentaire Fait travail accroc Parfait '
bien, 'Commentaire complet version gratuite possibilités personnalisation pack icônes options intéressantes '
bien, 'Commentaire marche bien discret '
bien, 'Commentaire '
neutre, 'Awesome be good if we could also use the power toggle in the lock screen Beside that live this app '
bien, 'Pratique Top fonctionnel '
neutre, 'Commentaire '
bien, 'Commentaire '
bien, 'Sympa Application full grace doivent apprendre a lire debloquer version premium '
bien, 'Excellent est meilleure genre est joli ergonomique personnalisable ai pris version complète profiter fonctions ai trouvé défaut peut appliquer packs icônes masquage icônes sont fait pack apparaissent a croix place espère être fait comprendre est gênant coup peut appliquer packs icônes -( dommage '
bien, 'of the best app of my favourite app '
bien, 'Indispensable bonne application devrait intégré base smart phone '
bien, 'adore Commentaire nouvelle version est géniale '
bien, 'Superbe apli facile pratique '
bien, 'Commentaire Manque traduction français '
bien, 'Glovebox Commentaire The best side launcher the Play very useful fluid and customisable new and memory optimisation '
bien, 'Super pratique Commentaire réussi outil indispensable utiliser modération '
bien, 'add enable/disable shortcut Commentaire really like the simplicity and good response of this app would like to ask for a shortcut in order to activate disable the side bar This way can do it straight from my home page the good work '
bien, 'Indispensable Commentaire passage utilise Glovebox est utilitaire utile '
bien, 'Excellent Commentaire belle application discrète simple paramétrer consomme batterie ***** you need some help to translate it into french contact '
bien, 'Génial Commentaire bonne application pense va devenir indispensable problème clavier faut régler application activer barre haut Peut être disponible version mise a jour raccourcis bug utilisation est top Merci Peut être est possible faire deux/quatre barres a droite a gauche haut/bas permettant mettre jeux haut a droite social bas a droite raccourcis appels/SMS bas '
bien, 'Cava Domage quon puisse rajouter dautre barre '
bien, 'parfait Commentaire Beau travail '
bien, 'Commentaire Best apps Add option to open sidebar by touch hotspot only will give stars '
bien, 'Commentaire '
mauvais, 'fonctionne Commentaire fonctionne rom v3.12.13 '
bien, 'cool aime '
bien, 'Perfect since the last update the good old scroll animation is back '
bien, 'Excellent bonne application reprenant système ubuntu simple utilisation fluide '
bien, 'Tres boe appli '
bien, 'mal Commentaire gourmand RAM joli intuitif pratique '
bien, ''
bien, 'Solid sidebar app tried many sidebar applications and you always need to compromise it is the fluidity or the customization of the look the number/area of triggers the memory needed Glovebox stands out it doesn\'t have any of these issues is simple to use while having so many options at the same time is fluid offers a few great themes to most users and offers great versatility The only downside can think of so far is translations there\'s none as far as aware it make the app unusable at all Once you\'re set up with your shortcuts and settings you\'ll never really have to read anything '
mauvais, 'Appgratis*** fonctionne Commentaire Impossible débloquer version premium Vais désinstaller '
neutre, 'Xperia z Commentaire Commemt mettre français svp mettrai 5etoiles '
mauvais, 'Mensonge Commentaire Suppose to be free with appgratis but nothing happened '
neutre, 'Commentaire français dommage trouve application inutile '
bien, 'Commentaire Bonjour est possible lire epub hébreu arabe moon reader Merci '
bien, 'Super avait madame coup devait partager soucis appli bonheur '
